Date,Total Lifting Weeks,Week,Cycle Week,Exercise,Focus,Type,Pause,Sets,Reps,Intensity,Weight,RPE,All_Reps,uploaded_video,video_name,vid_url
4-Oct,9,2,2,Pin Squat,Squat,Pin,n,3,6,,220,7,y,n,,
4-Oct,9,2,2,2Board Bench,Bench,2 Board,n,3,5,,210,8.5,y,n,,
4-Oct,9,2,2,1-Arm DB Row,Accessory,,,5,10,,60,7,y,n,,
4-Oct,9,2,2,Birddog,Accessory,,,3,6,,0,7,y,n,,
5-Oct,9,2,2,2ct Pause Deadlift,Deadlift,Pause,y,3,5,,140,8.5,y,n,,
5-Oct,9,2,2,Touch and Go Bench,Bench,Touch and Go,n,4,10,,170,9,y,n,,
5-Oct,9,2,2,Straight Leg Deadlift,Deadlift,Straight Leg,n,3,8,,90,8,y,n,,
5-Oct,9,2,2,Wide Grip Seated Row,Accessory,,,4,10,,140,8,y,n,,
5-Oct,9,2,2,Pushdown,Accessory,,,4,10,,120,8,y,n,,
9-Oct,10,3,4,Competition Squat,Squat,Competition,n,5,5,,245,8,y,n,,
9-Oct,10,3,4,Competition Pause Bench,Bench,Competition,n,5,5,,200,9,y,n,,
9-Oct,10,3,4,Overhead Press,Accessory,,,3,7,,100,10,y,n,,
9-Oct,10,3,4,Bent Over Row,Accessory,,,3,8,,155,9,y,n,,
9-Oct,10,3,4,GHR Back Extensions,Accessory,,,5,10,,18,7,y,n,,
10-Oct,10,3,4,Competition Deadlift,Deadlift,Competition,n,5,5,,156,8.5,y,n,,
10-Oct,10,3,4,3ct Pause Bench,Bench,Pause,y,3,3,,180,7.5,y,n,,
10-Oct,10,3,4,High Bar Pause Squat,Squat,High Bar,n,3,5,,210,8,y,n,,
10-Oct,10,3,4,Wide Grip Seated Row,Accessory,,,4,8,,150,8,y,n,,
11-Oct,10,3,4,Pin Squat,Squat,Pin,n,3,5,,230,8,y,n,,
11-Oct,10,3,4,2Board Bench,Bench,2 Board,n,3,6,,205,8.5,y,n,,
11-Oct,10,3,4,1-Arm DB Row,Accessory,,,5,8,,65,9,y,n,,
11-Oct,10,3,4,Birddog,Accessory,,,4,8,,0,7,y,n,,
13-Oct,10,3,4,2ct Pause Deadlift,Deadlift,Pause,y,3,5,,150,9,y,n,,
13-Oct,10,3,4,Touch and Go Bench,Bench,Touch and Go,n,4,8,,180,8.5,y,n,,
13-Oct,10,3,4,Straight Leg Deadlift,Deadlift,Straight Leg,n,3,6,,93,8.5,y,n,,
13-Oct,10,3,4,Pulldown,Accessory,,,4,8,,150,8,y,n,,
13-Oct,10,3,4,Pushdown,Accessory,,,4,8,,,7,y,n,,
15-Oct,11,4,6,Competition Squat,Squat,Competition,n,4,3,,265,8,y,n,,
